UserId:ItemId,Prediction
u0000039:i0060196,8.09712
u0000039:i0099077,7.69311
u0000039:i0102926,7.70722
u0000039:i0109830,8.00887
u0000039:i0113277,7.54485
u0000039:i0114924,6.3599
u0000039:i0116695,7.05659
u0000039:i0119217,7.77071
u0000039:i0139462,6.59304
u0000039:i0146984,6.23351
u0000039:i0230838,5.83928
u0000039:i0240890,6.17712
u0000039:i0281358,7.03953
u0000039:i0376541,6.93021
u0000039:i0380389,6.8385
u0000039:i0405159,7.53004
u0000039:i0473360,5.03743
u0000039:i0484740,5.99763
u0000039:i0780536,7.3805
u0000039:i0907657,7.22494
u0000039:i1023111,5.98956
u0000039:i1126590,6.8475
u0000039:i1294226,6.99009
u0000039:i1306980,6.92066
u0000039:i1375666,7.85905
u0000039:i1392190,6.85878
u0000039:i1403981,6.65335
u0000039:i1498569,6.55313
u0000039:i1595656,5.42244
u0000039:i1606389,6.31923
u0000039:i1613750,7.14493
u0000039:i1638002,6.5287
u0000039:i1655441,6.85878
u0000039:i1659337,7.32057
u0000039:i1702439,6.09674
u0000039:i1714915,6.86853
u0000039:i1809398,6.99615
u0000039:i1850397,6.9049
u0000039:i1951265,6.31653
u0000039:i1972779,5.78837
u0000039:i2034031,6.90838
u0000039:i2082197,7.47453
u0000039:i2084970,7.68878
u0000039:i2199571,6.85878
u0000039:i2309260,6.85878
u0000039:i2562232,7.80034
u0000039:i2582802,8.15076
u0000039:i2713180,7.21331
u0000039:i2872718,7.52819
u0000039:i3235888,8.32208
u0000039:i3729920,6.28599
u0000046:i0033467,8.25238
u0000046:i0041959,8.11735
u0000046:i0056663,7.63192
u0000046:i0100234,8.4947
u0000046:i0166924,7.83626
u0000046:i0233841,7.53952
u0000046:i0361862,7.46688
u0000046:i0499335,7.22157
u0000046:i1020072,7.73224
u0000046:i1100089,6.99208
u0000046:i1392190,7.22157
u0000046:i1791528,6.88855
u0000046:i2141941,7.22157
u0000046:i2326554,8.44478
u0000046:i2582802,8.52077
u0000046:i2788710,6.22922
u0000046:i2802154,8.13074
u0000046:i3235888,8.44092
u0000046:i3263614,6.73325
u0000046:i3374966,7.14708
u0000046:i3416744,7.22157
u0000046:i3612616,8.03801
u0000046:i3630276,7.55394
u0000046:i3715320,7.22157
u0000046:i4408178,7.22157
u0000060:i0418279,8.38505
u0000060:i0816692,8.78628
u0000060:i1055369,7.27043
u0000060:i1399103,7.68233
u0000060:i1418377,5.98689
u0000060:i2024469,8.0151
u0000060:i2872732,6.93298
u0000077:i0068646,8.04268
u0000077:i0073195,7.21502
u0000077:i0455407,6.00167
u0000077:i0479997,3.54934
u0000077:i1229238,5.92304
u0000077:i1385956,6.89925
u0000077:i1499658,5.64883
u0000077:i1600196,6.41796
u0000077:i1661820,6.3618
u0000077:i2084970,7.32165
u0000077:i2096673,6.3618
u0000077:i2245084,6.79597
u0000077:i2267998,7.49145
u0000077:i2310332,6.09293
u0000077:i2395427,6.3618
u0000077:i2515034,6.3618
u0000077:i2609222,6.90391
u0000077:i2692904,6.52216
u0000077:i2802144,6.00538
u0000077:i2911666,6.04689
u0000077:i3045616,6.3618
u0000077:i3416742,7.09982
u0000083:i0073486,8.5479
u0000083:i0086250,8.25121
u0000083:i0102926,8.60187
u0000083:i0105695,8.25451
u0000083:i0109830,8.75625
u0000083:i0110413,8.70284
u0000083:i0110912,8.22888
u0000083:i0114369,8.65637
u0000083:i0114814,8.58383
u0000083:i0119174,8.4958
u0000083:i0119488,8.6403
u0000083:i0120586,8.68459
u0000083:i0120735,8.60134
u0000083:i0120815,9.06263
u0000083:i0137523,8.24943
u0000083:i0139654,7.98365
u0000083:i0144084,7.59229
u0000083:i0208092,8.14473
u0000083:i0209144,8.51865
u0000083:i0221027,8.77938
u0000083:i0236493,7.54497
u0000083:i0264464,8.59925
u0000083:i0266987,8.50429
u0000083:i0268978,8.61425
u0000083:i0278504,8.01091
u0000083:i0315733,7.65144
u0000083:i0327056,8.18946
u0000083:i0361748,8.23857
u0000083:i0361862,8.07479
u0000083:i0362227,8.13567
u0000083:i0407887,8.87308
u0000083:i0421715,8.63099
u0000083:i0452623,7.88927
u0000083:i0469494,7.88209
u0000083:i0477348,8.07168
u0000083:i0482571,8.87869
u0000083:i0816692,8.68344
u0000083:i0884732,8.36918
u0000083:i0964517,8.18552
u0000083:i1014763,7.8619
u0000083:i1032755,8.20348
u0000083:i1100089,7.27286
u0000083:i1542344,7.80028
u0000083:i1663662,7.95512
u0000083:i1666801,7.8619
u0000083:i1670345,8.29043
u0000083:i1698641,7.56549
u0000083:i1823672,7.8619
u0000083:i1924396,8.39612
u0000083:i1979320,8.78865
u0000083:i2084970,8.69214
u0000083:i2096672,7.33008
u0000083:i2170439,7.53444
u0000083:i2170593,8.12272
u0000083:i2179136,8.1799
u0000083:i2245084,8.71547
u0000083:i2261331,8.16868
u0000083:i2273657,7.8619
u0000083:i2278388,8.2582
u0000083:i2305051,8.21651
u0000083:i2561572,7.8619
u0000083:i2562232,8.35143
u0000083:i2582802,8.57513
u0000083:i2614684,8.22981
u0000083:i2788710,7.73002
u0000083:i2802144,7.42739
u0000083:i2872718,8.28244
u0000083:i2883512,8.04563
u0000083:i2980472,7.8619
u0000083:i2980516,8.54653
u0000083:i3007512,8.77444
u0000083:i3045616,7.8619
u0000083:i3079380,7.8619
u0000083:i3316960,7.93646
u0000083:i3442006,7.51275
u0000083:i3541262,7.39969
u0000083:i3592542,7.8619
u0000139:i0414387,7.98708
u0000139:i0783233,8.03972
u0000139:i1655441,7.29617
u0000139:i1661199,7.29617
u0000139:i1702014,8.22202
u0000139:i1731141,6.96783
u0000139:i1772264,7.41137
u0000139:i2084970,8.36514
u0000139:i2096673,7.29617
u0000139:i2322441,7.29617
u0000139:i2395427,7.29617
u0000139:i2717860,6.74762
u0000139:i2802144,6.842
u0000139:i2908446,7.29617
u0000139:i2980516,8.15268
u0000139:i3079380,7.29617
u0000139:i3316960,7.9641
u0000148:i0369610,7.64809
u0000148:i0458481,7.99627
u0000148:i0478970,7.64809
u0000148:i1029360,7.64809
u0000148:i1121096,5.92047
u0000148:i1340138,7.64809
u0000148:i1392190,7.64809
u0000148:i1617661,7.64809
u0000148:i1655441,7.64809
u0000148:i1850397,7.7144
u0000148:i2088003,7.64809
u0000148:i2106361,7.62656
u0000148:i2179136,8.03492
u0000148:i2180411,7.6008
u0000148:i2381249,7.64809
u0000148:i2395427,7.64809
u0000148:i2436386,7.64809
u0000148:i2467046,5.16677
u0000148:i2493486,7.64809
u0000148:i2582802,9.48989
u0000148:i2802144,7.2037
